Country,Athlete,G,S,B
South Korea,Lee Joonhwan,0,0,2
South Korea,Shin Yubin,0,0,2
United States,Stephen Nedoroscik,0,0,2
United States,Jasmine Moore,0,0,2
United States,Grant Fisher,0,0,2
India,Manu Bhaker,0,0,2
Hungary,Sara Fojt,0,0,2
Hungary,Noemi Pupp,0,0,2
Hong Kong,Siobhan Bernadette Haughey,0,0,2
Great Britain,Samuel Reardon,0,0,2
Great Britain,Alex Haydock-Wilson,0,0,2
Great Britain,Amber Anning,0,0,2
Great Britain,Kimberley Woods,0,0,2
Great Britain,Charlotte Fry,0,0,2
Great Britain,Laviai Nielsen,0,0,2
Great Britain,Nicole Yeargin,0,0,2
Great Britain,Beth Potter,0,0,2
France,Felix Lebrun,0,0,2
France,Florent Manaudou,0,0,2
China,Wu Qingfeng,0,0,2
China,Yu Yiting,0,0,2
Canada,Ilya Kharun,0,0,2
Brazil,Larissa Pimenta,0,0,2
Australia,Jemima Montag,0,0,2
Australia,Matthew Glaetzer,0,0,2
Individual Neutral Athletes,Ivan Litvinovich,1,0,
Chinese Taipei,Lin Yu Ting,1,0,0
Chinese Taipei,Wang Chi-Lin,1,0,0
Chinese Taipei,Lee Yang,1,0,0
Bahrain,Akhmed Tazhudinov,1,0,0
Bahrain,Winfred Yavi,1,0,0
South Korea,Kim Yujin,1,0,0
South Korea,Park Taejoon,1,0,0
South Korea,An Se Young,1,0,0
South Korea,Yang Jiin,1,0,0
South Korea,Ban Hyojin,1,0,0
South Korea,Jeon Hun-Young,1,0,0
South Korea,Oh Ye Jin,1,0,0
South Korea,Kim Je Deok,1,0,0
Uganda,Joshua Cheptegei,1,0,0
Tunisia,Firas Katoussi,1,0,0
Portugal,Rui Oliveira,1,0,0
Morocco,Soufiane El Bakkali,1,0,0
Indonesia,Rizki Juniansyah,1,0,0
Indonesia,Veddriq Leonardo,1,0,0
Guatemala,Adriana Ruano Oliva,1,0,0
Ethiopia,Tamirat Tola,1,0,0
Egypt,Ahmed Elgendy,1,0,0
Dominican Republic,Marileidy Paulino,1,0,0
Dominica,Thea Lafond,1,0,0
Cuba,Erislandy Alvarez Borges,1,0,0
Cuba,Mijain Lopez,1,0,0
Algeria,Kaylia Neymour,1,0,0
Algeria,Imane Khelif,1,0,0
Serbia,Zorana Arunovic,1,0,0
Serbia,Novak Djokovic,1,0,0
Serbia,Damir Mikec,1,0,0
Uzbekistan,Razambek Salambekovitch Jamalov,1,0,0
Uzbekistan,Abdulmalik Khalokov,1,0,0
Uzbekistan,Asadkhuja Muydinkhujaev,1,0,0
Uzbekistan,Diyora Keldiyorova,1,0,0
Uzbekistan,Ulugbek Rashitov,1,0,0
Uzbekistan,Bakhodir Jalolov,1,0,0
Uzbekistan,Hasanboy Dusmatov,1,0,0
United States,Emma Weber,1,0,0
United States,Twanisha Terry,1,0,0
United States,Kristina Teachout,1,0,0
United States,Scottie Scheffler,1,0,0
United States,Masai Russell,1,0,0
United States,Hezly Rivera,1,0,0
United States,Olivia Reeves,1,0,0
United States,Matt King,1,0,0
United States,Alexis Holmes,1,0,0
United States,Quincy Hall,1,0,0
United States,Amit Elor,1,0,0
United States,Aaliyah Butler,1,0,0
United States,Aaron Brooks,1,0,0
United States,Chris Bailey,1,0,0
United States,Sarah Hildebrandt,1,0,0
United States,Jordan Chiles,1,0,0
United States,Caroline Marks,1,0,0
United States,Lily Williams,1,0,0
United States,Michael Grady,1,0,0
United States,Nicholas Mead,1,0,0
United States,Grant Holloway,1,0,0
United States,Cole Hocker,1,0,0
United States,Quanera Hayes,1,0,0
United States,Liam Corrigan,1,0,0
United States,Justin Best,1,0,0
United States,Valarie Allman,1,0,0
United States,Tara Davis-Woodhall,1,0,0
United States,Ryan Crouser,1,0,0
United States,Ryan Held,1,0,0
United States,Lilly King,1,0,0
United States,Quincy Wilson,1,0,0
Ukraine,Oleksandr Khyzhniak,1,0,0
Ukraine,Yaroslava Mahuchikh,1,0,0
Thailand,Panipak Wongpattanakit,1,0,0
Switzerland,Chiara Leone,1,0,0
Sweden,Jonatan Hellvig,1,0,0
Sweden,David Ahman,1,0,0
Sweden,Armand Duplantis,1,0,0
Spain,Jordan Alejandro Diaz Fortun,1,0,0
Spain,Diego Botin le Chever,1,0,0
Spain,Florian Trittel Paul,1,0,0
Slovenia,Andreja Leski,1,0,0
Slovenia,Janja Garnbret,1,0,0
Romania,Victoria Stefania Petreanu,1,0,0
Romania,Adriana Adam,1,0,0
Romania,Maria Lehaci,1,0,0
Romania,Maria Magdalena Rusu,1,0,0
Romania,Andrei Sebastian Cornea,1,0,0
Romania,Marian Florian Enache,1,0,0
Romania,Amalia Beres,1,0,0
Poland,Aleksandra Miroslaw,1,0,0
Pakistan,Arshad Nadeem,1,0,0
Norway,Solfrid Eila Amena Koanda,1,0,0
